성명,소속,직위,재산의 종류,대분류,본인과의 관계,소재지 면적 등 권리의 명세,종전가액,증가액,증가액_실거래가,감소액,감소액_실거래가,현재가액,변동사유,개별index,지역
차동형,재단법인 울산테크노파크,원장,채무,건물임대채무,본인,부산광역시 동래구 사직동 임대보증금 증가,0,78000,0,0,0,78000,건물임대채무,차동형-재단법인 울산테크노파크-원장,ulsan
차동형,재단법인 울산테크노파크,원장,고지거부및등록제외사항,고지거부및등록제외사항,부,등록제외,0,0,0,0,0,0,사망,차동형-재단법인 울산테크노파크-원장,ulsan
차동형,재단법인 울산테크노파크,원장,고지거부및등록제외사항,고지거부및등록제외사항,모,고지거부,0,0,0,0,0,0,독립생계유지,차동형-재단법인 울산테크노파크-원장,ulsan
신성봉,울산광역시 중구의회,의장,토지,답,본인,"울산광역시 울주군 범서읍 두산리 476-3번지 1,352.00㎡",24336,3380,0,0,0,27716,공시지가상승,신성봉-울산광역시 중구의회-의장,ulsan
신성봉,울산광역시 중구의회,의장,토지,답,본인,부산광역시 기장군 일광면 횡계리 262번지 63.00㎡,8895,561,0,0,0,9456,공시지가상승,신성봉-울산광역시 중구의회-의장,ulsan
신성봉,울산광역시 중구의회,의장,토지,임야,배우자,"경상북도 경주시 산내면 대현리 1562-10번지 3,625.00㎡",3697,725,0,0,0,4422,공시지가상승,신성봉-울산광역시 중구의회-의장,ulsan
신성봉,울산광역시 중구의회,의장,토지,전,배우자,경상북도 청도군 운문면 신원리 1129번지 169.00㎡,17000,0,0,0,0,17000,변동없음,신성봉-울산광역시 중구의회-의장,ulsan
신성봉,울산광역시 중구의회,의장,토지,전,배우자,경상북도 청도군 운문면 신원리 1132번지 119.00㎡,13000,0,0,0,0,13000,변동없음,신성봉-울산광역시 중구의회-의장,ulsan
신성봉,울산광역시 중구의회,의장,건물,근린생활시설,본인,울산광역시 중구 성안동 대지 331.30㎡ 건물 525.06㎡,413470,48082,0,0,0,461552,공시지가상승,신성봉-울산광역시 중구의회-의장,ulsan
신성봉,울산광역시 중구의회,의장,건물,근린생활시설전세(임차)권,본인,울산광역시 중구 우정동 건물 67.60㎡,10000,0,0,0,0,10000,변동없음,신성봉-울산광역시 중구의회-의장,ulsan
신성봉,울산광역시 중구의회,의장,건물,아파트,배우자,대구광역시 수성구 신매동 시지태왕하이츠 건물 79.00㎡,164000,6000,0,0,0,170000,공시지가상승,신성봉-울산광역시 중구의회-의장,ulsan
신성봉,울산광역시 중구의회,의장,건물,단독주택,배우자,경상북도 청도군 운문면 신원리 대지 605.00㎡ 건물 83.78㎡,85000,0,0,0,0,85000,변동없음,신성봉-울산광역시 중구의회-의장,ulsan
신성봉,울산광역시 중구의회,의장,건물,창고,장남,경상북도 청도군 운문면 신원리 대지 426.00㎡ 건물 98.40㎡,65000,0,0,0,0,65000,변동없음,신성봉-울산광역시 중구의회-의장,ulsan
신성봉,울산광역시 중구의회,의장,부동산에관한규정이준용되는권리와자동차건설기계선박및항공기,자동차,본인,"2007년식 봉고Ⅲ일반덤프 배기량(2,000cc)",4056,0,0,568,0,3488,시가표준액하락,신성봉-울산광역시 중구의회-의장,ulsan
신성봉,울산광역시 중구의회,의장,부동산에관한규정이준용되는권리와자동차건설기계선박및항공기,건설기계,본인,굴삭기 두산인프라코어 2008년식,6500,0,0,0,0,6500,변동없음,신성봉-울산광역시 중구의회-의장,ulsan
신성봉,울산광역시 중구의회,의장,부동산에관한규정이준용되는권리와자동차건설기계선박및항공기,건설기계,본인,굴삭기 KOBELCO 2014년식,14529,0,0,0,0,14529,변동없음,신성봉-울산광역시 중구의회-의장,ulsan
신성봉,울산광역시 중구의회,의장,예금,예금,본인,"현대해상화재보험 0(5,800 감소), 삼성생명보험 14,124, 농협은행 79,380(49,391 감소), 메트라이프생명보험 87,725(12,362 증가), 농협중앙회 35,124(32,061 증가),삼성화재해상보험 5,022(1,152 증가)",230991,95753,0,105369,0,221375,소득저축 및 가계자금사용,신성봉-울산광역시 중구의회-의장,ulsan
신성봉,울산광역시 중구의회,의장,예금,예금,배우자,"DB손해보험(주) 16,800(1,400 증가), (주)KEB하나은행 521(338 감소), 스탠다드차타드은행 373, 삼성생명보험45,954(2,400 증가), 신한은행 25, 농협중앙회 3,662(974증가), AIA생명보험주식회사 3,985(225 증가), 신한금융투자(주) 88,032(30,839 증가),한화생명보험주식회사 2,427, 농협은행 2,848(239 감소),라이나생명보험 0(3,767 감소), 한국투자증권 32,751(2,406 감소), 농협생명보험 49,868(6,000 증가)",212158,41924,0,6836,0,247246,소득저축 및 가계자금사용,신성봉-울산광역시 중구의회-의장,ulsan
신성봉,울산광역시 중구의회,의장,예금,예금,장남,"중소기업은행 1,709(1,280 증가), 농협중앙회 7,785(442감소), (주)KEB하나은행 4, 국민은행 900(900 증가),농협은행 1,820(1,820 증가)",8660,4000,0,442,0,12218,소득저축 및 가계자금사용,신성봉-울산광역시 중구의회-의장,ulsan
신성봉,울산광역시 중구의회,의장,채무,채무,본인,사인간채무,24500,0,0,0,0,24500,변동없음,신성봉-울산광역시 중구의회-의장,ulsan
신성봉,울산광역시 중구의회,의장,채무,금융기관채무,본인,"농협은행 20,000",20000,0,0,0,0,20000,변동없음,신성봉-울산광역시 중구의회-의장,ulsan
신성봉,울산광역시 중구의회,의장,채무,건물임대채무,본인,울산광역시 중구 성안동 임대보증금,70000,0,0,0,0,70000,변동없음,신성봉-울산광역시 중구의회-의장,ulsan
강혜경,울산광역시 중구의회,의원,토지,대지,배우자,울산광역시 울주군 웅촌면 곡천리 582번지 331.00㎡,130000,0,0,0,0,130000,변동없음,강혜경-울산광역시 중구의회-의원,ulsan
강혜경,울산광역시 중구의회,의원,토지,도로,모,울산광역시 울주군 웅촌면 은현리 736-1번지 11.00㎡,872,0,0,572,0,300,공시지가하락,강혜경-울산광역시 중구의회-의원,ulsan
강혜경,울산광역시 중구의회,의원,건물,아파트,본인,울산광역시 남구 무거동 롯데캐슬 건물 151.50㎡,474000,0,0,0,0,474000,변동없음,강혜경-울산광역시 중구의회-의원,ulsan
강혜경,울산광역시 중구의회,의원,건물,단독주택,배우자,울산광역시 중구 우정동 대지 120.80㎡ 건물 67.00㎡,134000,0,0,0,0,134000,변동없음,강혜경-울산광역시 중구의회-의원,ulsan
강혜경,울산광역시 중구의회,의원,부동산에관한규정이준용되는권리와자동차건설기계선박및항공기,자동차,배우자,"2009년식 뉴싼타페 배기량(1,950cc)",6560,0,0,0,0,6560,변동없음,강혜경-울산광역시 중구의회-의원,ulsan
강혜경,울산광역시 중구의회,의원,부동산에관한규정이준용되는권리와자동차건설기계선박및항공기,자동차,배우자,2019년식 스파크 배기량(999cc) 증가,0,14100,0,0,0,14100,차량신규등록,강혜경-울산광역시 중구의회-의원,ulsan
강혜경,울산광역시 중구의회,의원,예금,예금,본인,"신한은행 85(200 감소), 메리츠화재해상보험(보험)22,344(2,561 증가), 대구은행 4(22 감소), 우체국 13,560,농협은행 22(22 증가), 국민은행 0(2,019 감소), 경남은행 128(3,811 감소)",39612,2583,0,6052,0,36143,소득저축 및 가계자금사용,강혜경-울산광역시 중구의회-의원,ulsan
강혜경,울산광역시 중구의회,의원,예금,예금,배우자,"(주)KEB하나은행 1, 한국교직원공제회 102,127(3,997 증가),푸르덴셜생명보험 27,293(595 증가), 현대해상화재보험 3,030(180 증가), 디지비생명보험㈜ 0(18,000 감소),신한은행 1,937(1,447 감소), 동양생명보험 5,000(3,000증가), 농협은행 17, 한화생명보험주식회사 20,784(780증가), 교보생명보험 29,100(1,800 증가), 경남은행 113,부산은행 100,854(100,854 증가)",198497,111206,0,19447,0,290256,소득저축 및 가계자금사용,강혜경-울산광역시 중구의회-의원,ulsan
강혜경,울산광역시 중구의회,의원,예금,예금,모,"농협중앙회 13,715(2,388 증가)",11327,2388,0,0,0,13715,소득저축 및 가계자금사용,강혜경-울산광역시 중구의회-의원,ulsan
강혜경,울산광역시 중구의회,의원,예금,예금,장남,"경남은행 557(300 증가), 농협중앙회 4,621(76 감소),국민은행 5(4 증가), 우리은행 5,915(2,855 증가)",8015,3159,0,76,0,11098,,강혜경-울산광역시 중구의회-의원,ulsan
강혜경,울산광역시 중구의회,의원,예금,예금,장녀,"농협중앙회 4,772(542 증가), 경남은행 240(48 증가)",4422,590,0,0,0,5012,,강혜경-울산광역시 중구의회-의원,ulsan
강혜경,울산광역시 중구의회,의원,채무,금융기관채무,본인,"우체국 8,000(2,000 감소), 경남은행 250,416(3,282 감소)",263698,0,0,5282,0,258416,채무상환,강혜경-울산광역시 중구의회-의원,ulsan
강혜경,울산광역시 중구의회,의원,채무,금융기관채무,배우자,"한국교직원공제회 61,200(1,200 증가), 사립학교교직원연금공단 50,526(9,784 증가), KB캐피탈12,446(12,446 증가), 경남은행 217,022(62,953 증가)",254811,128564,0,42181,0,341194,가계자금채무증가,강혜경-울산광역시 중구의회-의원,ulsan
권태호,울산광역시 중구의회,의원,토지,임야,배우자,"제주특별자치도 서귀포시 안덕면 상천리 630-7번지1,253.00㎡ 중 598.00㎡",95550,0,0,0,0,95550,변동없음,권태호-울산광역시 중구의회-의원,ulsan
권태호,울산광역시 중구의회,의원,토지,답,부,"경상북도 경주시 서면 사라리 910-2번지 1,193.00㎡ 중596.50㎡",16403,0,0,656,0,15747,공시지가하락,권태호-울산광역시 중구의회-의원,ulsan
권태호,울산광역시 중구의회,의원,건물,아파트,부,울산광역시 중구 학성동 남운학성타운 건물 133.76㎡,171000,17000,0,0,0,188000,공시지가상승,권태호-울산광역시 중구의회-의원,ulsan
권태호,울산광역시 중구의회,의원,부동산에관한규정이준용되는권리와자동차건설기계선박및항공기,자동차,본인,"2012년식 스포티지 배기량(2,000cc)",5372,0,0,847,0,4525,시가표준액하락,권태호-울산광역시 중구의회-의원,ulsan
권태호,울산광역시 중구의회,의원,부동산에관한규정이준용되는권리와자동차건설기계선박및항공기,자동차,배우자,"2001년식 아반떼 엑스디 배기량(1,500cc)",765,0,0,0,0,765,변동없음,권태호-울산광역시 중구의회-의원,ulsan
권태호,울산광역시 중구의회,의원,예금,예금,본인,"DB생명보험(주) 4,850(1,232 증가), 하나생명보험 1,600(1,200 증가), 농협은행 143(113 증가), MG손해보험(주)0(4,800 감소), 농협중앙회 2, 국민은행 58, 학성 424,경남은행 25, SK증권 55",9412,2545,0,4800,0,7157,소득저축 및 가계자금사용,권태호-울산광역시 중구의회-의원,ulsan
권태호,울산광역시 중구의회,의원,예금,예금,배우자,"농협중앙회 20(141 감소), 동양생명보험 744(280 증가),한화생명보험주식회사 46,789(1,887 증가), DB생명보험(주) 5,276, 농협은행 1,777(1,777 증가)",50803,3945,0,142,0,54606,소득저축 및 가계자금사용,권태호-울산광역시 중구의회-의원,ulsan
권태호,울산광역시 중구의회,의원,예금,예금,부,"우체국 403(14 증가), 경남은행 827(646 감소),DB생명보험(주) 42,000, 새마을금고 1,769(42 증가)",45589,42056,0,42646,0,44999,소득저축 및 가계자금사용,권태호-울산광역시 중구의회-의원,ulsan
권태호,울산광역시 중구의회,의원,예금,예금,모,"흥국생명보험 7,844(434 증가), 농협중앙회 508(321 감소),학성 43(1 증가)",8281,435,0,321,0,8395,소득저축 및 가계자금사용,권태호-울산광역시 중구의회-의원,ulsan
권태호,울산광역시 중구의회,의원,예금,예금,장녀,농협중앙회 40,40,0,0,0,0,40,소득저축 및 가계자금사용,권태호-울산광역시 중구의회-의원,ulsan
권태호,울산광역시 중구의회,의원,채권,채권,본인,사인간채권,170000,0,0,0,0,170000,변동없음,권태호-울산광역시 중구의회-의원,ulsan
권태호,울산광역시 중구의회,의원,채권,채권,배우자,사인간채권 증가,0,615000,0,0,0,615000,채권증가,권태호-울산광역시 중구의회-의원,ulsan
권태호,울산광역시 중구의회,의원,채무,금융기관채무,본인,"농협은행 24,000, 경남은행 217,527(27,008 증가)",214519,38000,0,10992,0,241527,채무증가,권태호-울산광역시 중구의회-의원,ulsan
권태호,울산광역시 중구의회,의원,채무,채무,배우자,사인간채무 증가,0,500000,0,0,0,500000,채무증가,권태호-울산광역시 중구의회-의원,ulsan
권태호,울산광역시 중구의회,의원,채무,금융기관채무,배우자,"한화생명보험주식회사 33,689(550 감소), 농협은행70,000(70,000 증가)",34239,70000,0,550,0,103689,채무증가,권태호-울산광역시 중구의회-의원,ulsan
권태호,울산광역시 중구의회,의원,채무,금융기관채무,부,"DB생명보험(주) 25,000",25000,0,0,0,0,25000,변동없음,권태호-울산광역시 중구의회-의원,ulsan
김기환,울산광역시 중구의회,의원,건물,아파트,배우자,울산광역시 중구 반구동 현대그랜드맨션 건물 63.01㎡,110000,0,0,0,0,110000,변동없음,김기환-울산광역시 중구의회-의원,ulsan
김기환,울산광역시 중구의회,의원,부동산에관한규정이준용되는권리와자동차건설기계선박및항공기,자동차,본인,"2006년식 그랜져TG 배기량(2,656cc)",2279,0,0,0,0,2279,변동없음,김기환-울산광역시 중구의회-의원,ulsan
김기환,울산광역시 중구의회,의원,예금,예금,본인,"에이스아메리칸화재해상보험 1,664(175 증가), 농협은행 531(8,886 감소), 하이투자증권 2, 한화투자증권 46(46 증가), 국민은행 12,755(68,338 감소), 농협중앙회 3,366(2,729 감소), 울산태화신협 10, DB손해보험(주) 575(68 증가), 병영 350",98963,12439,0,92103,0,19299,소득저축 및 가계자금사용,김기환-울산광역시 중구의회-의원,ulsan
김기환,울산광역시 중구의회,의원,예금,예금,배우자,"미래에셋대우(주) 19, 유진투자증권 402(3 증가), 국민은행 21,336(17,108 증가), 현대해상화재보험 10,640(608 증가), 메리츠화재해상보험(보험) 3,199(331 증가), 농협중앙회 32(4,480 감소), 신한은행 1,349(3,085 감소), 우체국 3,606(280 감소), 에이스아메리칸화재해상보험 1,481(43 감소), 울산태화신협 10, 한국카카오은행(주) 8(8 증가), 부산은행 1, 중울산 137",32050,18949,0,8779,0,42220,소득저축 및 가계자금사용,김기환-울산광역시 중구의회-의원,ulsan
김기환,울산광역시 중구의회,의원,예금,예금,장남,"신한은행 1,000(6,000 감소), 중소기업은행 88(38 증가), 현대해상화재보험 5,118(238 증가), 병영 12,000(12,000 증가), 농협중앙회 1(5 감소), 한국카카오은행(주) 0(1 감소), 흥국화재해상보험(주) 4,857(292 증가), 농협은행 3,570",20072,13568,0,7006,0,26634,소득저축 및 가계자금사용,김기환-울산광역시 중구의회-의원,ulsan
김기환,울산광역시 중구의회,의원,예금,예금,차남,"농협은행 2,590, 중소기업은행 0(1,176 감소), (주)KB손해보험 2,205(188 증가), 국민은행 1,496(647 증가), (주)KEB하나은행 1,350(530 증가), 씨티은행 315(1,030 감소), 농협중앙회 9(139 감소), 신한은행 1,801(598 증가)",10148,4015,0,4397,0,9766,소득저축 및 가계자금사용,김기환-울산광역시 중구의회-의원,ulsan
김기환,울산광역시 중구의회,의원,유가증권,상장주식,배우자,기업은행 2주,30,0,0,2,0,28,주가하락,김기환-울산광역시 중구의회-의원,ulsan
김기환,울산광역시 중구의회,의원,채무,금융기관채무,본인,"새마을금고 10,319(242 감소)",10561,0,0,242,0,10319,채무상환,김기환-울산광역시 중구의회-의원,ulsan
김기환,울산광역시 중구의회,의원,채무,금융기관채무,배우자,"우체국 1,540",1540,0,0,0,0,1540,변동없음,김기환-울산광역시 중구의회-의원,ulsan
김지근,울산광역시 중구의회,의원,토지,답,배우자,"울산광역시 중구 유곡동 629-1번지 991.00㎡ 중 495.50㎡(총면적 991.00㎡ 증가, 지분면적 495.50㎡ 증가)",0,45635,75000,0,0,45635,토지매입,김지근-울산광역시 중구의회-의원,ulsan
김지근,울산광역시 중구의회,의원,토지,유지,장남,울산광역시 중구 다운동 214-1번지 721.00㎡,40000,0,0,0,0,40000,변동없음,김지근-울산광역시 중구의회-의원,ulsan
김지근,울산광역시 중구의회,의원,토지,답,장남,"울산광역시 중구 유곡동 629-1번지 991.00㎡ 중 495.50㎡(총면적 991.00㎡ 증가, 지분면적 495.50㎡ 증가)",0,45635,75000,0,0,45635,토지매입,김지근-울산광역시 중구의회-의원,ulsan
김지근,울산광역시 중구의회,의원,건물,단독주택,본인,울산광역시 중구 다운동 대지 283.00㎡ 건물 85.00㎡,225508,0,0,0,0,225508,변동없음,김지근-울산광역시 중구의회-의원,ulsan
김지근,울산광역시 중구의회,의원,부동산에관한규정이준용되는권리와자동차건설기계선박및항공기,자동차,본인,2017년식 아이오닉 배기량(78cc),23000,0,0,0,0,23000,변동없음,김지근-울산광역시 중구의회-의원,ulsan
김지근,울산광역시 중구의회,의원,부동산에관한규정이준용되는권리와자동차건설기계선박및항공기,자동차,본인,"2015년식 소나타 배기량(1,999cc)",20000,0,0,0,0,20000,변동없음,김지근-울산광역시 중구의회-의원,ulsan
김지근,울산광역시 중구의회,의원,부동산에관한규정이준용되는권리와자동차건설기계선박및항공기,자동차,본인,"2012년식 아반떼MD 배기량(1,591cc)",7000,0,0,0,0,7000,변동없음,김지근-울산광역시 중구의회-의원,ulsan
김지근,울산광역시 중구의회,의원,예금,예금,본인,"KB증권 79, 현대자동차 110, 농협중앙회 34, (주)KEB하나은행1,900(60 증가), 울산태화신협 10, 울산중앙 0(8,493 감소)",10566,60,0,8493,0,2133,소득저축 및 가계자금사용,김지근-울산광역시 중구의회-의원,ulsan
김지근,울산광역시 중구의회,의원,예금,예금,배우자,"대신증권 2, KB증권 5, 농협중앙회 38,171(34,519 증가),삼성생명보험 9,030, 태화 926(970 감소), 한화손해보험1,298(246 증가), 농협은행 4, 신한생명보험 31,392",47033,34765,0,970,0,80828,소득저축 및 가계자금사용,김지근-울산광역시 중구의회-의원,ulsan
김지근,울산광역시 중구의회,의원,예금,예금,모,"농협중앙회 5,431(1,620 증가)",3811,1620,0,0,0,5431,소득저축 및 가계자금사용,김지근-울산광역시 중구의회-의원,ulsan
김지근,울산광역시 중구의회,의원,예금,예금,장남,"신한은행 4,788(13,124 감소), 경남은행 2, 우체국 19, 농협중앙회 4,339(589 증가), KB증권 8, 국민은행 1, 우리은행 1,187(582 증가), 농협은행 4,020(1,500 증가), DB손해보험(주)10,271(594 증가)",34494,7718,0,17577,0,24635,소득저축 및 가계자금사용,김지근-울산광역시 중구의회-의원,ulsan
김지근,울산광역시 중구의회,의원,유가증권,상장주식,배우자,"현대상선 2,904주",14607,0,0,3877,0,10730,주식가액하락,김지근-울산광역시 중구의회-의원,ulsan
김지근,울산광역시 중구의회,의원,채무,금융기관채무,본인,"현대캐피탈 2,666(2,000 감소), 농협중앙회 1,399(31,696감소)",37761,0,0,33696,0,4065,채무상환,김지근-울산광역시 중구의회-의원,ulsan
김지근,울산광역시 중구의회,의원,고지거부및등록제외사항,고지거부및등록제외사항,차남,고지거부,0,0,0,0,0,0,독립생계유지,김지근-울산광역시 중구의회-의원,ulsan
노세영,울산광역시 중구의회,의원,건물,복합건물(주택+상가)전세(임차)권,본인,울산광역시 중구 복산동 건물 0.00㎡ (건물 132.00㎡ 감소),16000,0,0,16000,0,0,전세계약만료,노세영-울산광역시 중구의회-의원,ulsan
노세영,울산광역시 중구의회,의원,건물,아파트전세(임차)권,본인,울산광역시 중구 약사동 약사아이파크 건물 59.71㎡ (건물59.71㎡ 증가),0,20000,0,0,0,20000,전세계약체결,노세영-울산광역시 중구의회-의원,ulsan
노세영,울산광역시 중구의회,의원,건물,아파트,배우자,울산광역시 남구 무거동 무거위브자이 건물 84.98㎡,312000,0,0,0,0,312000,변동없음,노세영-울산광역시 중구의회-의원,ulsan
노세영,울산광역시 중구의회,의원,건물,아파트전세(임차)권,배우자,울산광역시 중구 반구동 e편한세상 강변 건물 0.00㎡ (건물84.98㎡ 감소),300000,0,0,300000,0,0,전세계약만료,노세영-울산광역시 중구의회-의원,ulsan
노세영,울산광역시 중구의회,의원,건물,아파트(분양권),배우자,울산광역시 울주군 언양읍 송대리 언양 송대지구 B4블럭(1블럭 1롯트) 건물 63.95㎡ (건물 63.95㎡ 증가),0,153300,0,0,0,153300,분양권매입,노세영-울산광역시 중구의회-의원,ulsan
노세영,울산광역시 중구의회,의원,부동산에관한규정이준용되는권리와자동차건설기계선박및항공기,자동차,본인,"2006년식 스포티지 배기량(1,991cc)",4870,0,0,0,0,4870,변동없음,노세영-울산광역시 중구의회-의원,ulsan
노세영,울산광역시 중구의회,의원,부동산에관한규정이준용되는권리와자동차건설기계선박및항공기,자동차,배우자,"2009년식 그랜져 배기량(2,656cc)",9210,0,0,0,0,9210,변동없음,노세영-울산광역시 중구의회-의원,ulsan
노세영,울산광역시 중구의회,의원,예금,예금,본인,"중소기업은행 4,700(1,700 증가), 농협은행 4,923(1,757 감소), 울산중앙신협 1, 한화생명보험주식회사 22,000(2,400 증가), IBK연금보험주식회사 5,400(900 증가), 유진투자증권30,009(30,009 증가)",33781,36496,0,3244,0,67033,소득저축 및 가계자금사용,노세영-울산광역시 중구의회-의원,ulsan
노세영,울산광역시 중구의회,의원,예금,예금,배우자,"한국교직원공제회 8,782(250 증가), 유안타증권 9, KB증권 2,763(495 감소), (주)IBK저축은행 49,000, 농협중앙회 2,405(479증가), 중소기업은행 472,500(106,000 증가), 우체국 19,716, NH투자증권 8, 농협은행 26(23 증가), 한국투자증권 2, 농협생명보험 31,800(3,780 증가), 경남은행 1, 케이뱅크 140,643(12,314 증가)",605304,532922,0,410571,0,727655,소득저축 및 가계자금사용,노세영-울산광역시 중구의회-의원,ulsan
노세영,울산광역시 중구의회,의원,예금,예금,장남,"중소기업은행 1,000",1000,0,0,0,0,1000,소득저축 및 가계자금사용,노세영-울산광역시 중구의회-의원,ulsan
노세영,울산광역시 중구의회,의원,유가증권,상장주식,본인,"제룡전기 2,565주, 신풍제약 566주(566주 증가), 이화전기 16,525주",29323,3628,0,3562,0,29389,주식가액상승,노세영-울산광역시 중구의회-의원,ulsan
노세영,울산광역시 중구의회,의원,채무,금융기관채무,배우자,"경남은행 131,400(21,900 증가)",109500,21900,0,0,0,131400,가계자금사용,노세영-울산광역시 중구의회-의원,ulsan
노세영,울산광역시 중구의회,의원,채무,건물임대채무,배우자,울산광역시 남구 무거동 무거위브자이 임대보증금,370000,0,0,0,0,370000,변동없음,노세영-울산광역시 중구의회-의원,ulsan
노세영,울산광역시 중구의회,의원,고지거부및등록제외사항,고지거부및등록제외사항,부,고지거부,0,0,0,0,0,0,독립생계유지,노세영-울산광역시 중구의회-의원,ulsan
노세영,울산광역시 중구의회,의원,고지거부및등록제외사항,고지거부및등록제외사항,모,고지거부,0,0,0,0,0,0,독립생계유지,노세영-울산광역시 중구의회-의원,ulsan
문희성,울산광역시 중구의회,의원,토지,전,배우자,경상북도 경주시 양남면 기구리 554-4번지 414.00㎡,47401,0,0,0,0,47401,변동없음,문희성-울산광역시 중구의회-의원,ulsan
문희성,울산광역시 중구의회,의원,토지,답,배우자,경상북도 경주시 양남면 기구리 555-1번지 145.00㎡,16602,0,0,0,0,16602,변동없음,문희성-울산광역시 중구의회-의원,ulsan
문희성,울산광역시 중구의회,의원,건물,다가구주택전세(임차)권,본인,울산광역시 중구 서동 건물 26.44㎡,3000,0,0,0,0,3000,변동없음,문희성-울산광역시 중구의회-의원,ulsan
문희성,울산광역시 중구의회,의원,건물,단독주택전세(임차)권,배우자,울산광역시 중구 다운동 건물 59.50㎡,20000,0,0,0,0,20000,변동없음,문희성-울산광역시 중구의회-의원,ulsan
문희성,울산광역시 중구의회,의원,건물,아파트,모,경기도 고양시 일산서구 주엽동 강선마을 건물 131.46㎡,390000,0,0,0,0,390000,변동없음,문희성-울산광역시 중구의회-의원,ulsan
